代號,校名,系名,標準,考取級分
亞洲大學,心理學系,總級分(46),1,47
亞洲大學,經營管理學系,總級分(36),1,47
國立屏東科技大學,工業管理系,總級分(46),2,48
國立屏東科技大學,企業管理系,總級分(52),2,48
國立屏東科技大學,財務金融國際學士學位學程,總級分(51),2,48
國立勤益科技大學,流通管理系(資管類),總級分(55),2,48
國立臺中科技大學,休閒事業經營系,總級分(54),2,48
國立屏東大學,企業管理學系,總級分(48),2,48
國立高雄科技大學,高瞻科技不分系學士學位學程,"總級分(51),英文+數學(19),專二(10)",1,48
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",1,48
國立勤益科技大學,流通管理系,09商管群/總級分(55),1,48
國立勤益科技大學,休閒產業管理系,總級分(54),1,48
國立臺北護理健康大學,健康事業管理系,總級分(49),1,48
國立臺中科技大學,應用統計系,數學(5),1,48
朝陽科技大學,財務金融系,總級分(45),1,48
朝陽科技大學,企業管理系,總級分(40),1,48
朝陽科技大學,保險金融管理系,專一(7),1,48
朝陽科技大學,休閒事業管理系,總級分(41),1,48
南臺科技大學,休閒事業管理系,總級分(30),1,48
明新科技大學,休閒事業管理系,總級分(23),1,48
致理科技大學,財務金融系,總級分(45),1,48
南亞技術學院,休閒與餐旅管理系,(111學年度商管群新增),1,48
國立聯合大學,資訊管理學系,"總級分(48),專一(7)",1,48
國立屏東大學,會計學系,總級分(44),1,48
國立屏東大學,不動產經營學系,總級分(36),1,48
中原大學,會計學系,"超篩總級分(52),數學+總級分(58),英文+專二(21)",1,48
逢甲大學,土地管理學系,總級分(33),1,48
靜宜大學,企業管理學系,"總級分(37),英文(4),數學(6)",1,48
銘傳大學,企業管理學系（台北校區）,總級分(52),1,48
實踐大學,財務金融學系（臺北校區）,總級分(52),1,48
實踐大學,休閒產業管理學系（高雄校區）,國文(5),1,48
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",2,49
國立勤益科技大學,企業管理系,"超篩總級分(60),國文+英文+數學+專二(40),專一(12)",2,49
國立屏東科技大學,工業管理系,總級分(46),1,49
國立屏東科技大學,企業管理系,總級分(52),1,49
國立屏東科技大學,時尚設計與管理系,總級分(55),1,49
國立屏東科技大學,財務金融國際學士學位學程,總級分(51),1,49
國立高雄科技大學,航運管理系,總級分(55),1,49
國立高雄科技大學,海洋休閒管理系,總級分(53),1,49
國立高雄科技大學,海事資訊科技系,總級分(50),1,49
國立虎尾科技大學,工業管理系,總級分(54),1,49
國立虎尾科技大學,應用外語系,總級分(54),1,49
